,BLACK,HHSEX,METRO,HHGRAD,HHMAR,HHCITSHP,HHAGE,NUMPEOPLE,HINCP,DIVISION,OWNER
0,0.0,1,1.0,44,1,1,52,3,5.409933123331294,5,1.0
1,0.0,2,1.0,44,4,1,80,2,5.303196057420489,1,1.0
3,0.0,1,1.0,47,1,1,72,2,4.825426117767823,7,1.0
4,1.0,2,1.0,40,6,1,60,1,4.544068044350276,4,0.0
6,0.0,2,1.0,39,3,1,80,2,4.309630167425898,4,0.0
7,1.0,1,1.0,43,6,1,30,2,4.158362492095249,7,0.0
8,0.0,2,1.0,44,4,1,60,1,4.819543935541868,5,1.0
9,0.0,2,1.0,44,4,1,50,3,4.909556029241175,5,1.0
11,0.0,2,1.0,34,4,1,55,1,4.093421685162235,1,0.0
12,0.0,2,1.0,40,1,1,35,4,4.756636108245848,1,0.0
13,0.0,2,1.0,43,4,1,68,1,4.390935107103379,4,0.0
14,0.0,1,1.0,45,1,1,54,2,5.146128035678238,5,1.0
15,0.0,2,1.0,44,1,1,62,2,5.016615547557177,5,1.0
17,1.0,1,1.0,39,4,1,38,1,4.633468455579586,5,1.0
18,0.0,2,1.0,39,1,1,41,4,4.518513939877887,1,0.0
21,0.0,1,1.0,45,1,1,72,3,5.6020599913279625,5,1.0
22,0.0,2,1.0,39,4,1,72,1,4.041392685158225,5,0.0
23,0.0,2,1.0,44,6,1,24,2,4.623249290397901,1,0.0
25,1.0,2,1.0,40,4,1,78,1,4.220108088040055,7,0.0
26,0.0,1,1.0,40,1,1,60,3,5.585460729508501,5,1.0
28,0.0,1,1.0,33,1,5,39,4,4.770852011642144,5,1.0
29,1.0,1,1.0,39,6,1,28,1,4.477121254719663,1,0.0
30,0.0,2,1.0,39,4,1,60,3,4.47567118832443,4,0.0
31,0.0,2,1.0,43,3,1,79,1,4.767155866082181,7,1.0
32,0.0,1,1.0,43,6,1,51,1,4.944482672150168,5,1.0
33,0.0,2,1.0,43,1,1,40,5,4.903089986991944,4,1.0
