Property Sub Type,Close$/SqFt,Close_Year,Close_Month,close_month_index,Close Date
See Remarks,2.24,2019,8,20,8/26/19
Condominium,1.48,2019,8,20,8/12/19
Condominium,1.73,2019,8,20,8/13/19
Condominium,1.7,2019,8,20,8/10/19
Condominium,1.68,2019,8,20,8/10/19
Duplex,0.55,2019,8,20,8/15/19
Condominium,1.48,2019,8,20,8/16/19
Condominium,1.55,2019,8,20,8/1/19
Duplex,1.1,2019,8,20,8/26/19
Duplex,1.1,2019,8,20,8/2/19
Condominium,1.73,2019,8,20,8/12/19
Condominium,1.5,2019,8,20,8/16/19
Duplex,0.77,2019,8,20,8/21/19
Condominium,1.31,2019,8,20,8/2/19
Condominium,1.64,2019,8,20,8/15/19
Condominium,1.35,2019,8,20,8/1/19
Duplex,1.38,2019,8,20,8/1/19
Condominium,1.17,2019,8,20,8/1/19
Duplex,1.31,2019,8,20,8/3/19
Condominium,1.21,2019,8,20,8/16/19
Duplex,1.53,2019,8,20,8/5/19
Duplex,1.57,2019,8,20,8/20/19
Condominium,1.45,2019,8,20,8/29/19
Townhouse,0.97,2019,8,20,8/7/19
Condominium,1.26,2019,8,20,8/17/19
Townhouse,1.58,2019,8,20,8/1/19
Single Family Resi,1.21,2019,8,20,8/9/19
Single Family Resi,1.28,2019,8,20,8/14/19
Single Family Resi,1.41,2019,8,20,8/7/19
Single Family Resi,1.65,2019,8,20,8/30/19
Quadruplex,1.89,2019,8,20,8/15/19
Quadruplex,0.34,2019,8,20,8/19/19
Apartment,2.39,2019,8,20,8/15/19
Apartment,1.72,2019,8,20,8/26/19
Apartment,2.69,2019,8,20,8/2/19
Apartment,2.88,2019,8,20,8/26/19
Apartment,2.88,2019,8,20,8/29/19
Triplex,2.18,2019,8,20,8/10/19
Condominium,3.67,2019,8,20,8/6/19
Apartment,1.96,2019,8,20,8/5/19
See Remarks,2.17,2019,8,20,8/22/19
Duplex,0.97,2019,8,20,8/15/19
See Remarks,3.61,2019,8,20,8/15/19
Condominium,3.32,2019,8,20,8/1/19
Quadruplex,0.47,2019,8,20,8/26/19
Condominium,3.14,2019,8,20,8/1/19
Condominium,2.88,2019,8,20,8/2/19
Condominium,2.24,2019,8,20,8/14/19
Apartment,2.38,2019,8,20,8/13/19
Condominium,2.83,2019,8,20,8/1/19
Duplex,1.95,2019,8,20,8/3/19
Condominium,1.49,2019,8,20,8/1/19
Duplex,1.95,2019,8,20,8/31/19
Condominium,2.57,2019,8,20,8/24/19
Single Family Resi,2.96,2019,8,20,8/22/19
Duplex,1.93,2019,8,20,8/5/19
Duplex,1.61,2019,8,20,8/16/19
Townhouse,0.18,2019,8,20,8/6/19
Condominium,1.66,2019,8,20,8/23/19
Duplex,2.49,2019,8,20,8/1/19
See Remarks,2.33,2019,8,20,8/13/19
Duplex,0.9,2019,8,20,8/16/19
Duplex,1.87,2019,8,20,8/17/19
Single Family Resi,2.14,2019,8,20,8/19/19
Single Family Resi,1.84,2019,8,20,8/24/19
Single Family Resi,1.73,2019,8,20,8/7/19
Single Family Resi,1.8,2019,8,20,8/1/19
Single Family Resi,1.45,2019,8,20,8/23/19
Condominium,2.18,2019,8,20,8/13/19
Duplex,2.04,2019,8,20,8/26/19
Single Family Resi,1.69,2019,8,20,8/5/19
Condominium,2.0,2019,8,20,8/20/19
Single Family Resi,1.71,2019,8,20,8/3/19
Single Family Resi,3.05,2019,8,20,8/18/19
Single Family Resi,1.39,2019,8,20,8/1/19
Condominium,2.85,2019,8,20,8/1/19
Single Family Resi,2.07,2019,8,20,8/20/19
Single Family Resi,1.49,2019,8,20,8/8/19
Single Family Resi,1.7,2019,8,20,8/6/19
Single Family Resi,2.42,2019,8,20,8/27/19
Single Family Resi,2.36,2019,8,20,8/1/19
Single Family Resi,2.06,2019,8,20,8/19/19
Single Family Resi,1.96,2019,8,20,8/29/19
Single Family Resi,2.44,2019,8,20,8/24/19
Single Family Resi,1.89,2019,8,20,8/14/19
Single Family Resi,3.03,2019,8,20,8/27/19
Condominium,3.08,2019,8,20,8/1/19
Single Family Resi,2.09,2019,8,20,8/13/19
Single Family Resi,1.7,2019,8,20,8/23/19
Quadruplex,1.24,2019,8,20,8/29/19
Duplex,0.67,2019,8,20,8/1/19
Duplex,1.32,2019,8,20,8/30/19
Duplex,1.56,2019,8,20,8/23/19
Condominium,1.19,2019,8,20,8/5/19
Duplex,0.65,2019,8,20,8/30/19
Duplex,0.67,2019,8,20,8/1/19
Condominium,1.32,2019,8,20,8/6/19
Duplex,1.47,2019,8,20,8/15/19
Duplex,1.5,2019,8,20,8/15/19
Single Family Resi,1.5,2019,8,20,8/7/19
Single Family Resi,1.36,2019,8,20,8/18/19
Condominium,1.45,2019,8,20,8/29/19
Condominium,1.33,2019,8,20,8/10/19
Single Family Resi,1.55,2019,8,20,8/9/19
Single Family Resi,1.07,2019,8,20,8/13/19
Duplex,0.68,2019,8,20,8/23/19
Single Family Resi,1.6,2019,8,20,8/29/19
Single Family Resi,0.89,2019,8,20,8/21/19
Single Family Resi,1.36,2019,8,20,8/10/19
Single Family Resi,1.11,2019,8,20,8/9/19
Single Family Resi,1.23,2019,8,20,8/1/19
Single Family Resi,1.21,2019,8,20,8/11/19
Single Family Resi,1.05,2019,8,20,8/24/19
Single Family Resi,1.05,2019,8,20,8/16/19
Single Family Resi,1.48,2019,8,20,8/2/19
Single Family Resi,1.05,2019,8,20,8/1/19
Single Family Resi,1.26,2019,8,20,8/10/19
Single Family Resi,1.17,2019,8,20,8/13/19
Single Family Resi,0.91,2019,8,20,8/31/19
Single Family Resi,1.26,2019,8,20,8/11/19
Single Family Resi,0.98,2019,8,20,8/16/19
Single Family Resi,1.11,2019,8,20,8/17/19
Single Family Resi,0.98,2019,8,20,8/1/19
Single Family Resi,1.39,2019,8,20,8/31/19
Single Family Resi,1.14,2019,8,20,8/15/19
Single Family Resi,1.27,2019,8,20,8/31/19
Single Family Resi,1.14,2019,8,20,8/23/19
Single Family Resi,1.0,2019,8,20,8/22/19
Single Family Resi,0.89,2019,8,20,8/15/19
Single Family Resi,0.99,2019,8,20,8/7/19
Single Family Resi,1.11,2019,8,20,8/31/19
Single Family Resi,0.92,2019,8,20,8/10/19
Condominium,1.03,2019,8,20,8/18/19
Condominium,1.09,2019,8,20,8/4/19
Single Family Resi,2.04,2019,8,20,8/17/19
Single Family Resi,1.11,2019,8,20,8/28/19
Single Family Resi,2.51,2019,8,20,8/14/19
Single Family Resi,1.28,2019,8,20,8/29/19
Single Family Resi,2.29,2019,8,20,8/3/19
Apartment,1.31,2019,8,20,8/7/19
Quadruplex,1.06,2019,8,20,8/19/19
Quadruplex,1.12,2019,8,20,8/29/19
Quadruplex,1.24,2019,8,20,8/26/19
Apartment,1.29,2019,8,20,8/22/19
Condominium,1.9,2019,8,20,8/18/19
Condominium,1.73,2019,8,20,8/20/19
Quadruplex,1.38,2019,8,20,8/1/19
Condominium,1.77,2019,8,20,8/24/19
Quadruplex,1.12,2019,8,20,8/10/19
Quadruplex,1.37,2019,8,20,8/1/19
Quadruplex,0.35,2019,8,20,8/10/19
Duplex,1.67,2019,8,20,8/6/19
Single Family Resi,1.23,2019,8,20,8/21/19
Duplex,0.71,2019,8,20,8/3/19
Condominium,1.47,2019,8,20,8/15/19
Duplex,1.57,2019,8,20,8/23/19
Duplex,0.57,2019,8,20,8/16/19
Duplex,0.9,2019,8,20,8/30/19
Duplex,1.72,2019,8,20,8/16/19
Condominium,1.37,2019,8,20,8/26/19
Single Family Resi,1.43,2019,8,20,8/29/19
Duplex,0.58,2019,8,20,8/19/19
Duplex,0.93,2019,8,20,8/7/19
Duplex,0.88,2019,8,20,8/23/19
Single Family Resi,1.71,2019,8,20,8/1/19
Single Family Resi,1.99,2019,8,20,8/8/19
Duplex,0.72,2019,8,20,8/6/19
Single Family Resi,1.73,2019,8,20,8/23/19
Duplex,0.76,2019,8,20,8/1/19
Single Family Resi,1.93,2019,8,20,8/19/19
Single Family Resi,1.57,2019,8,20,8/18/19
Condominium,1.79,2019,8,20,8/18/19
Single Family Resi,1.58,2019,8,20,8/30/19
Single Family Resi,2.07,2019,8,20,8/2/19
Single Family Resi,1.38,2019,8,20,8/10/19
Single Family Resi,1.92,2019,8,20,8/5/19
Single Family Resi,1.82,2019,8,20,8/16/19
Townhouse,1.7,2019,8,20,8/18/19
See Remarks,2.07,2019,8,20,8/1/19
Single Family Resi,2.0,2019,8,20,8/7/19
Duplex,1.56,2019,8,20,8/23/19
Single Family Resi,1.55,2019,8,20,8/9/19
Single Family Resi,2.15,2019,8,20,8/1/19
Single Family Resi,1.43,2019,8,20,8/8/19
Single Family Resi,1.9,2019,8,20,8/21/19
Single Family Resi,1.45,2019,8,20,8/9/19
Single Family Resi,1.52,2019,8,20,8/22/19
Single Family Resi,1.6,2019,8,20,8/7/19
Duplex,1.62,2019,8,20,8/21/19
Single Family Resi,3.1,2019,8,20,8/10/19
Single Family Resi,1.92,2019,8,20,8/8/19
Single Family Resi,1.72,2019,8,20,8/5/19
Single Family Resi,1.62,2019,8,20,8/8/19
Condominium,1.6,2019,8,20,8/30/19
Condominium,1.6,2019,8,20,8/1/19
Condominium,1.01,2019,8,20,8/24/19
Duplex,0.57,2019,8,20,8/22/19
Condominium,1.05,2019,8,20,8/8/19
Condominium,1.33,2019,8,20,8/10/19
Quadruplex,1.05,2019,8,20,8/31/19
Duplex,0.58,2019,8,20,8/1/19
Quadruplex,1.07,2019,8,20,8/9/19
Quadruplex,0.25,2019,8,20,8/1/19
Condominium,1.25,2019,8,20,8/19/19
Duplex,1.27,2019,8,20,8/1/19
Duplex,1.33,2019,8,20,8/1/19
Duplex,1.12,2019,8,20,8/15/19
Condominium,1.28,2019,8,20,8/11/19
Duplex,1.39,2019,8,20,8/1/19
Duplex,1.4,2019,8,20,8/9/19
Duplex,0.7,2019,8,20,8/19/19
Duplex,0.63,2019,8,20,8/10/19
Duplex,0.59,2019,8,20,8/11/19
Condominium,1.29,2019,8,20,8/9/19
Duplex,0.63,2019,8,20,8/9/19
Duplex,0.7,2019,8,20,8/24/19
Duplex,0.7,2019,8,20,8/9/19
Duplex,0.78,2019,8,20,8/5/19
Duplex,0.66,2019,8,20,8/15/19
