Property Sub Type,Close$/SqFt,Close_Year,Close_Month,close_month_index,Close Date,SqFt,# Beds
See Remarks,2.24,2019,8,20,8/26/19,400.0,0.0
Condominium,1.48,2019,8,20,8/12/19,641.0,1.0
Condominium,1.73,2019,8,20,8/13/19,607.0,1.0
Condominium,1.7,2019,8,20,8/10/19,676.0,1.0
Condominium,1.68,2019,8,20,8/10/19,713.0,1.0
Duplex,0.55,2019,8,20,8/15/19,2374.0,2.0
Condominium,1.48,2019,8,20,8/16/19,875.0,1.0
Condominium,1.55,2019,8,20,8/1/19,840.0,1.0
Duplex,1.1,2019,8,20,8/26/19,1224.0,2.0
Duplex,1.1,2019,8,20,8/2/19,1224.0,2.0
Condominium,1.73,2019,8,20,8/12/19,805.0,2.0
Condominium,1.5,2019,8,20,8/16/19,985.0,2.0
Duplex,0.77,2019,8,20,8/21/19,1994.0,2.0
Condominium,1.31,2019,8,20,8/2/19,1220.0,2.0
Condominium,1.64,2019,8,20,8/15/19,972.0,2.0
Condominium,1.35,2019,8,20,8/1/19,1183.0,2.0
Duplex,1.38,2019,8,20,8/1/19,1200.0,3.0
Condominium,1.17,2019,8,20,8/1/19,1427.0,3.0
Duplex,1.31,2019,8,20,8/3/19,1300.0,3.0
Condominium,1.21,2019,8,20,8/16/19,1403.0,2.0
Duplex,1.53,2019,8,20,8/5/19,1173.0,2.0
Duplex,1.57,2019,8,20,8/20/19,1178.0,2.0
Condominium,1.45,2019,8,20,8/29/19,1273.0,2.0
Townhouse,0.97,2019,8,20,8/7/19,1908.0,3.0
Condominium,1.26,2019,8,20,8/17/19,1548.0,3.0
Townhouse,1.58,2019,8,20,8/1/19,1448.0,2.0
Single Family Resi,1.21,2019,8,20,8/9/19,2060.0,4.0
Single Family Resi,1.28,2019,8,20,8/14/19,2036.0,4.0
Single Family Resi,1.41,2019,8,20,8/7/19,2272.0,4.0
Single Family Resi,1.65,2019,8,20,8/30/19,2430.0,4.0
Quadruplex,1.89,2019,8,20,8/15/19,450.0,1.0
Quadruplex,0.34,2019,8,20,8/19/19,3030.0,1.0
Apartment,2.39,2019,8,20,8/15/19,440.0,1.0
Apartment,1.72,2019,8,20,8/26/19,610.0,1.0
Apartment,2.69,2019,8,20,8/2/19,400.0,1.0
Apartment,2.88,2019,8,20,8/26/19,400.0,1.0
Apartment,2.88,2019,8,20,8/29/19,400.0,1.0
Triplex,2.18,2019,8,20,8/10/19,550.0,1.0
Condominium,3.67,2019,8,20,8/6/19,341.0,0.0
Apartment,1.96,2019,8,20,8/5/19,650.0,1.0
See Remarks,2.17,2019,8,20,8/22/19,600.0,1.0
Duplex,0.97,2019,8,20,8/15/19,1334.0,1.0
See Remarks,3.61,2019,8,20,8/15/19,360.0,0.0
Condominium,3.32,2019,8,20,8/1/19,407.0,0.0
Quadruplex,0.47,2019,8,20,8/26/19,3030.0,1.0
Condominium,3.14,2019,8,20,8/1/19,476.0,1.0
Condominium,2.88,2019,8,20,8/2/19,528.0,1.0
Condominium,2.24,2019,8,20,8/14/19,692.0,1.0
Apartment,2.38,2019,8,20,8/13/19,650.0,1.0
Condominium,2.83,2019,8,20,8/1/19,600.0,1.0
Duplex,1.95,2019,8,20,8/3/19,874.0,2.0
Condominium,1.49,2019,8,20,8/1/19,1206.0,2.0
Duplex,1.95,2019,8,20,8/31/19,925.0,2.0
Condominium,2.57,2019,8,20,8/24/19,705.0,1.0
Single Family Resi,2.96,2019,8,20,8/22/19,624.0,1.0
Duplex,1.93,2019,8,20,8/5/19,960.0,2.0
Duplex,1.61,2019,8,20,8/16/19,1208.0,3.0
Townhouse,0.18,2019,8,20,8/6/19,10966.0,2.0
Condominium,1.66,2019,8,20,8/23/19,1200.0,2.0
Duplex,2.49,2019,8,20,8/1/19,800.0,2.0
See Remarks,2.33,2019,8,20,8/13/19,900.0,2.0
Duplex,0.9,2019,8,20,8/16/19,2335.0,2.0
Duplex,1.87,2019,8,20,8/17/19,1148.0,2.0
Single Family Resi,2.14,2019,8,20,8/19/19,1076.0,2.0
Single Family Resi,1.84,2019,8,20,8/24/19,1306.0,3.0
Single Family Resi,1.73,2019,8,20,8/7/19,1448.0,3.0
Single Family Resi,1.8,2019,8,20,8/1/19,1524.0,2.0
Single Family Resi,1.45,2019,8,20,8/23/19,1897.0,2.0
Condominium,2.18,2019,8,20,8/13/19,1282.0,3.0
Duplex,2.04,2019,8,20,8/26/19,1470.0,3.0
Single Family Resi,1.69,2019,8,20,8/5/19,1778.0,4.0
Condominium,2.0,2019,8,20,8/20/19,1549.0,3.0
Single Family Resi,1.71,2019,8,20,8/3/19,1840.0,3.0
Single Family Resi,3.05,2019,8,20,8/18/19,1080.0,2.0
Single Family Resi,1.39,2019,8,20,8/1/19,2596.0,4.0
Condominium,2.85,2019,8,20,8/1/19,1318.0,2.0
Single Family Resi,2.07,2019,8,20,8/20/19,1838.0,3.0
Single Family Resi,1.49,2019,8,20,8/8/19,2615.0,4.0
Single Family Resi,1.7,2019,8,20,8/6/19,2355.0,3.0
Single Family Resi,2.42,2019,8,20,8/27/19,1650.0,3.0
Single Family Resi,2.36,2019,8,20,8/1/19,1724.0,3.0
Single Family Resi,2.06,2019,8,20,8/19/19,2089.0,3.0
